hgnc_symbol	ensembl_gene_id	chromosome_name	feature	included
ACSM3	ENSG00000005187	16	ACSM3|6296	FALSE
ACSM4	ENSG00000215009	12	ACSM4|341392	FALSE
ACSM5	ENSG00000183549	16	ACSM5|54988	TRUE
ACSS1	ENSG00000154930	20	ACSS1|84532	TRUE
ACSS2	ENSG00000131069	20	ACSS2|55902	TRUE
ACSS3	ENSG00000111058	12	ACSS3|79611	TRUE
ACTA1	ENSG00000143632	1	ACTA1|58	FALSE
ACTA2	ENSG00000107796	10	ACTA2|59	TRUE
ACTBL2	ENSG00000169067	5	ACTBL2|345651	FALSE
ACTB	ENSG00000075624	7	ACTB|60	FALSE
ACTC1	ENSG00000159251	15	ACTC1|70	FALSE
ACTG1	ENSG00000184009	17	ACTG1|71	FALSE
ACTG2	ENSG00000163017	2	ACTG2|72	FALSE
ACTL6A	ENSG00000136518	3	ACTL6A|86	TRUE
ACTL6B	ENSG00000077080	7	ACTL6B|51412	TRUE
ACTL7A	ENSG00000187003	9	ACTL7A|10881	FALSE
ACTL7B	ENSG00000148156	9	ACTL7B|10880	FALSE
ACTL8	ENSG00000117148	1	ACTL8|81569	FALSE
ACTL9	ENSG00000181786	19	ACTL9|284382	FALSE
ACTN1	ENSG00000072110	14	ACTN1|87	TRUE
ACTN2	ENSG00000077522	1	ACTN2|88	TRUE
ACTN3	ENSG00000248746	11	ACTN3|89	FALSE
ACTN4	ENSG00000130402	19	ACTN4|81	TRUE
ACTR10	ENSG00000131966	14	ACTR10|55860	TRUE
ACTR1A	ENSG00000138107	10	ACTR1A|10121	TRUE
ACTR1B	ENSG00000115073	2	ACTR1B|10120	TRUE
ACTR2	ENSG00000138071	2	ACTR2|10097	FALSE
ACTR3B	ENSG00000133627	7	ACTR3B|57180	TRUE
ACTR3C	ENSG00000106526	7	ACTR3C|653857	FALSE
ACTR3	ENSG00000115091	2	ACTR3|10096	TRUE
ACTR5	ENSG00000101442	20	ACTR5|79913	FALSE
ACTR6	ENSG00000075089	12	ACTR6|64431	TRUE
ACTR8	ENSG00000113812	3	ACTR8|93973	TRUE
ACTRT1	ENSG00000123165	X	ACTRT1|139741	FALSE
ACTRT2	ENSG00000169717	1	ACTRT2|140625	FALSE
ACVR1B	ENSG00000135503	12	ACVR1B|91	TRUE
ACVR1C	ENSG00000123612	2	ACVR1C|130399	FALSE
ACVR1	ENSG00000115170	2	ACVR1|90	TRUE
ACVR2A	ENSG00000121989	2	ACVR2A|92	TRUE
ACVR2B	ENSG00000114739	3	ACVR2B|93	TRUE
ACVRL1	ENSG00000139567	12	ACVRL1|94	TRUE
ACY1	ENSG00000243989	3	ACY1|95	TRUE
ACY3	ENSG00000132744	11	ACY3|91703	TRUE
ACYP1	ENSG00000119640	14	ACYP1|97	FALSE
ACYP2	ENSG00000170634	2	ACYP2|98	TRUE
ADAD1	ENSG00000164113	4	ADAD1|132612	FALSE
ADAD2	ENSG00000140955	16	ADAD2|161931	FALSE
ADAL	ENSG00000168803	15	ADAL|161823	TRUE
ADAM10	ENSG00000137845	15	ADAM10|102	TRUE
ADAM11	ENSG00000073670	17	ADAM11|4185	TRUE
ADAM12	ENSG00000148848	10	ADAM12|8038	TRUE
ADAM15	ENSG00000143537	1	ADAM15|8751	TRUE
ADAM17	ENSG00000151694	2	ADAM17|6868	TRUE
ADAM18	ENSG00000168619	8	ADAM18|8749	FALSE
ADAM19	ENSG00000135074	5	ADAM19|8728	TRUE
ADAM20	ENSG00000134007	14	ADAM20|8748	FALSE
ADAM21P1	ENSG00000235812	14	ADAM21P1|145241	FALSE
ADAM21	ENSG00000139985	14	ADAM21|8747	FALSE
